pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,hour,dayofweek,month,pm10_ma6,pm2_5_ma6,carbon_monoxide_ma6,nitrogen_dioxide_ma6,sulphur_dioxide_ma6,ozone_ma6,temperature_2m_ma6,relative_humidity_2m_ma6,surface_pressure_ma6,wind_speed_10m_ma6,wind_direction_10m_ma6,precipitation_ma6,latitude_ma6,longitude_ma6,AQI_ma6,hour_ma6,dayofweek_ma6,month_ma6,pm10_ma24,pm2_5_ma24,carbon_monoxide_ma24,nitrogen_dioxide_ma24,sulphur_dioxide_ma24,ozone_ma24,temperature_2m_ma24,relative_humidity_2m_ma24,surface_pressure_ma24,wind_speed_10m_ma24,wind_direction_10m_ma24,precipitation_ma24,latitude_ma24,longitude_ma24,AQI_ma24,hour_ma24,dayofweek_ma24,month_ma24,pm2_5_lag1,pm2_5_lag6,pm2_5_lag24,pm10_lag1,pm10_lag6,pm10_lag24,ozone_lag1,ozone_lag6,ozone_lag24,nitrogen_dioxide_lag1,nitrogen_dioxide_lag6,nitrogen_dioxide_lag24,sulphur_dioxide_lag1,sulphur_dioxide_lag6,sulphur_dioxide_lag24,carbon_monoxide_lag1,carbon_monoxide_lag6,carbon_monoxide_lag24,AQI
35.5,35.5,467.0,14.1,4.8,79.0,27.6,79,941.9,8.5,97,0.0,0,6,7,52.53333333333333,48.36666666666667,583.3333333333334,42.48333333333333,7.1499999999999995,43.5,27.933333333333337,78.5,941.5166666666668,11.766666666666666,105.66666666666667,0.0,33.6844,73.0479,132.68174204355108,17.5,5.166666666666667,7.0,42.737500000000004,36.7875,1178.8333333333333,31.49166666666667,9.895833333333334,92.41666666666667,30.587499999999995,69.66666666666667,941.8125,6.695833333333334,179.29166666666666,0.0,33.6844,73.0479,105.02998989942559,11.5,5.041666666666667,7.0,47.8,51.0,34.1,52.4,56.6,39.3,60.0,24.0,47.0,26.5,73.5,28.8,7.1,10.4,6.0,406.0,1563.0,544.0,101.0
32.1,32.1,565.0,16.7,4.5,81.0,27.2,88,941.4,12.1,125,0.0,1,6,7,48.050000000000004,44.833333333333336,500.1666666666667,33.96666666666666,6.349999999999999,53.166666666666664,27.75,80.16666666666667,941.5166666666665,11.549999999999999,108.16666666666667,0.0,33.6844,73.0479,124.05356539492887,14.5,5.333333333333333,7.0,42.6375,36.8875,1176.1666666666667,31.079166666666666,9.8125,93.375,30.579166666666666,70.0,941.7333333333335,7.075,183.79166666666666,0.0,33.6844,73.0479,105.24029032861013,11.5,5.083333333333333,7.0,35.5,53.3,29.7,35.5,59.0,34.5,79.0,23.0,58.0,14.1,67.8,26.6,4.8,9.3,6.5,467.0,1064.0,629.0,93.06008583690988
27.4,27.0,698.0,20.1,4.1,84.0,27.5,87,942.1,10.6,114,0.0,2,6,7,42.96666666666667,40.56666666666666,498.3333333333333,27.5,5.716666666666666,63.0,27.650000000000002,81.5,941.6166666666667,11.083333333333334,109.33333333333333,0.0,33.6844,73.0479,113.92510477998002,11.5,5.5,7.0,42.362500000000004,36.7625,1173.6666666666667,30.94583333333333,9.679166666666665,93.79166666666667,30.520833333333332,70.54166666666667,941.6541666666667,7.370833333333334,175.0,0.0,33.6844,73.0479,104.97741479212947,11.5,5.125,7.0,32.1,52.6,30.0,32.1,57.9,34.0,81.0,25.0,74.0,16.7,58.9,23.3,4.5,7.9,7.3,565.0,709.0,758.0,82.33476394849785
22.6,20.3,775.0,21.3,4.7,93.0,28.4,82,942.5,11.3,129,0.1,3,6,7,37.4,35.4,548.5,22.833333333333332,5.333333333333333,73.33333333333333,27.71666666666667,82.16666666666667,941.8000000000001,10.733333333333333,112.83333333333333,0.016666666666666666,33.6844,73.0479,101.9817902099913,8.5,5.666666666666667,7.0,41.791666666666664,36.425,1171.25,31.020833333333332,9.5375,93.91666666666667,30.466666666666665,70.91666666666667,941.5749999999999,7.654166666666668,167.91666666666666,0.004166666666666667,33.6844,73.0479,104.26765084363161,11.5,5.166666666666667,7.0,27.0,51.3,28.4,27.4,56.0,36.3,84.0,31.0,90.0,20.1,49.3,19.5,4.1,7.0,8.1,698.0,474.0,833.0,68.24463519313305
30.3,17.1,742.0,18.2,7.0,111.0,30.0,74,942.4,8.6,129,0.0,4,6,7,33.38333333333333,29.966666666666665,608.8333333333334,19.483333333333334,5.366666666666667,84.66666666666667,28.083333333333332,81.33333333333333,941.9833333333332,10.15,116.83333333333333,0.016666666666666666,33.6844,73.0479,89.57348976642872,5.5,5.833333333333333,7.0,41.541666666666664,36.012499999999996,1168.7916666666667,31.166666666666668,9.454166666666667,94.08333333333333,30.4375,71.08333333333333,941.4916666666668,7.766666666666667,160.91666666666666,0.004166666666666667,33.6844,73.0479,103.40016157324534,11.5,5.208333333333333,7.0,20.3,49.7,27.0,22.6,54.4,36.3,93.0,43.0,107.0,21.3,38.3,14.7,4.7,6.8,9.0,775.0,380.0,801.0,61.51502145922747
61.0,20.6,652.0,12.9,10.2,133.0,31.2,70,942.2,5.2,160,0.1,5,6,7,34.81666666666666,25.433333333333334,649.8333333333334,17.21666666666667,5.883333333333333,96.83333333333333,28.650000000000002,80.0,942.0833333333334,9.383333333333333,125.66666666666667,0.03333333333333333,33.6844,73.0479,79.1716738197425,2.5,6.0,7.0,42.59583333333333,35.75833333333333,1166.0833333333333,31.3125,9.4625,94.45833333333333,30.420833333333334,71.25,941.4041666666666,7.708333333333333,155.41666666666666,0.008333333333333333,33.6844,73.0479,102.86564798240128,11.5,5.25,7.0,17.1,47.8,26.7,30.3,52.4,35.7,111.0,60.0,124.0,18.2,26.5,9.4,7.0,7.1,10.0,742.0,406.0,717.0,68.8755364806867
77.3,25.2,579.0,8.7,12.7,154.0,32.2,64,941.8,4.0,216,0.1,6,6,7,41.78333333333333,23.71666666666667,668.5,16.316666666666666,7.2,109.33333333333333,29.416666666666668,77.5,942.0666666666666,8.633333333333333,145.5,0.05000000000000001,33.6844,73.0479,75.42989985693849,3.5,6.0,7.0,44.34583333333333,35.704166666666666,1163.2083333333333,31.441666666666666,9.541666666666666,95.04166666666667,30.416666666666668,71.25,941.3166666666667,7.579166666666667,152.29166666666666,0.012500000000000002,33.6844,73.0479,102.75173524992631,11.5,5.291666666666667,7.0,20.6,35.5,26.5,61.0,35.5,35.3,133.0,79.0,140.0,12.9,14.1,5.6,10.2,4.8,10.8,652.0,467.0,648.0,78.54935622317598
79.9,28.5,543.0,6.6,13.7,172.0,33.1,60,941.3,4.9,231,0.2,7,6,7,49.75,23.11666666666667,664.8333333333334,14.633333333333333,8.733333333333333,124.5,30.400000000000002,72.83333333333333,942.0500000000001,7.433333333333334,163.16666666666666,0.08333333333333333,33.6844,73.0479,74.1680972818312,4.5,6.0,7.0,46.19583333333333,35.762499999999996,1160.375,31.545833333333334,9.637500000000001,95.79166666666667,30.420833333333334,71.25,941.2375000000001,7.5375000000000005,150.08333333333334,0.020833333333333332,33.6844,73.0479,102.87441050028399,11.5,5.333333333333333,7.0,25.2,32.1,27.1,77.3,32.1,35.5,154.0,81.0,154.0,8.7,16.7,4.1,12.7,4.5,11.4,579.0,565.0,611.0,85.4892703862661
74.5,30.9,523.0,5.7,13.9,188.0,33.9,57,940.5,5.2,221,0.3,8,6,7,57.6,23.76666666666667,635.6666666666666,12.233333333333334,10.366666666666665,141.83333333333334,31.46666666666667,67.83333333333333,941.7833333333333,6.533333333333334,181.0,0.13333333333333333,33.6844,73.0479,75.53505007153076,5.5,6.0,7.0,47.76666666666667,35.862500000000004,1157.625,31.612499999999997,9.725,96.70833333333333,30.433333333333334,71.25,941.1666666666666,7.533333333333334,148.45833333333334,0.03333333333333333,33.6844,73.0479,103.08471092946853,11.5,5.375,7.0,28.5,27.0,28.5,79.9,27.4,36.8,172.0,84.0,166.0,6.6,20.1,4.1,13.7,4.1,11.8,543.0,698.0,589.0,90.53648068669528
66.1,30.5,530.0,5.8,14.0,196.0,34.3,57,939.8,6.3,215,0.2,9,6,7,64.85000000000001,25.46666666666667,594.8333333333334,9.65,11.916666666666666,159.0,32.449999999999996,63.666666666666664,941.3333333333334,5.699999999999999,195.33333333333334,0.15000000000000002,33.6844,73.0479,79.1101573676681,6.5,6.0,7.0,48.95416666666666,35.895833333333336,1154.5833333333333,31.65416666666667,9.791666666666666,97.625,30.454166666666666,71.29166666666667,941.1041666666666,7.641666666666667,147.125,0.041666666666666664,33.6844,73.0479,103.15481107253004,11.5,5.416666666666667,7.0,30.9,20.3,29.7,74.5,22.6,37.6,188.0,93.0,174.0,5.7,21.3,4.8,13.9,4.7,12.4,523.0,775.0,603.0,89.69527896995709
